Chain,Iteration,MAE before tuning,MAE after tuning,Time
"['lasso', 'knnreg', 'ridge']",0,1.382210363616889,1.3354581349299561,1.7547363000000002
"['lasso', 'knnreg', 'ridge']",1,1.382210363616889,1.1378310592498497,1.7434308000000005
"['lasso', 'knnreg', 'ridge']",2,1.382210363616889,1.236068189034635,1.5530129000000006
"['lasso', 'knnreg', 'ridge']",3,1.382210363616889,1.131608963147283,1.0755079999999992
"['lasso', 'knnreg', 'ridge']",4,1.382210363616889,1.1432709428151209,1.1257803000000006
"['lasso', 'knnreg', 'ridge']",5,1.382210363616889,1.1683163260558718,1.1521722999999984
"['lasso', 'knnreg', 'ridge']",6,1.382210363616889,1.172764718383764,1.099999799999999
"['lasso', 'knnreg', 'ridge']",7,1.382210363616889,1.149359314849431,1.0404681999999994
"['lasso', 'knnreg', 'ridge']",8,1.382210363616889,1.2066036747462445,0.9885542000000012
"['lasso', 'knnreg', 'ridge']",9,1.382210363616889,1.381661759301225,0.9585563999999991
"['lasso', 'knnreg', 'ridge']",10,1.382210363616889,1.2086225276625948,1.0747196999999993
"['lasso', 'knnreg', 'ridge']",11,1.382210363616889,1.1780969299927262,1.0248142000000016
"['lasso', 'knnreg', 'ridge']",12,1.382210363616889,1.1566855428269842,1.0115969999999983
"['lasso', 'knnreg', 'ridge']",13,1.382210363616889,1.1646393396360766,1.1261229999999998
"['lasso', 'knnreg', 'ridge']",14,1.382210363616889,1.1594720770460025,1.0673588999999986
"['lasso', 'knnreg', 'ridge']",15,1.382210363616889,1.149103923233396,1.0036921999999997
"['lasso', 'knnreg', 'ridge']",16,1.382210363616889,1.279957590739226,1.0132689
"['lasso', 'knnreg', 'ridge']",17,1.382210363616889,1.3831861887956325,1.1242780000000003
"['lasso', 'knnreg', 'ridge']",18,1.382210363616889,1.204651965624151,1.0142036999999995
"['lasso', 'knnreg', 'ridge']",19,1.382210363616889,1.1677204152445064,1.0640994
"['lasso', 'knnreg', 'ridge']",20,1.382210363616889,1.307289433431179,0.959070999999998
"['lasso', 'knnreg', 'ridge']",21,1.382210363616889,1.2494787108335839,1.0739611000000018
"['lasso', 'knnreg', 'ridge']",22,1.382210363616889,1.1706101350485678,1.1877696000000029
"['lasso', 'knnreg', 'ridge']",23,1.382210363616889,1.1310333844766032,1.1883282000000008
"['lasso', 'knnreg', 'ridge']",24,1.382210363616889,1.3993665571238303,1.1442732000000007
"['lasso', 'knnreg', 'ridge']",25,1.382210363616889,1.3478422177356317,1.093731400000003
"['lasso', 'knnreg', 'ridge']",26,1.382210363616889,1.2197192354228323,1.0393180000000015
"['lasso', 'knnreg', 'ridge']",27,1.382210363616889,1.1257377528523338,1.204203899999996
"['lasso', 'knnreg', 'ridge']",28,1.382210363616889,1.278141194993969,0.9725790999999973
"['lasso', 'knnreg', 'ridge']",29,1.382210363616889,1.3524092934356307,1.1189976000000001
"['lasso', 'knnreg', 'ridge']",30,1.382210363616889,1.2019918989745368,1.0144738999999987
"['lasso', 'knnreg', 'ridge']",31,1.382210363616889,1.3367329260283447,1.0806320000000014
"['lasso', 'knnreg', 'ridge']",32,1.382210363616889,1.3784832367898114,0.9656050999999977
"['lasso', 'knnreg', 'ridge']",33,1.382210363616889,1.178809085423801,1.0637637000000026
"['lasso', 'knnreg', 'ridge']",34,1.382210363616889,1.1484142018418688,1.072587100000007
"['lasso', 'knnreg', 'ridge']",35,1.382210363616889,1.2680120346194623,1.0405772000000013
"['lasso', 'knnreg', 'ridge']",36,1.382210363616889,1.3143399696426874,1.1265737999999956
