Chain,Size,MAE,MAPE,Len_forecast
5-node,500,0.16127439677369382,21.338137516641602,150
5-node,700,0.15440485564276657,20.380486934296357,150
ridge,10,0.08595873246276856,12.60663107673952,200
ridge,50,0.08579140043217376,12.596757884804497,200
ridge,100,0.08389287738616265,12.27480923543665,200
ridge,150,0.09845862326261764,13.867483178405271,200
ridge,200,0.09803536318713092,13.955689472295562,200
ridge,400,0.06634957146587435,9.002925818602627,200
ridge,500,0.07399052917188685,10.351171045947984,200
ridge,700,0.08829770059434904,12.253794995199156,200
3-node,10,0.12601907054712239,18.572470616803216,200
3-node,50,0.1145259701976048,17.112238138060004,200
3-node,100,0.1315104504321218,19.984841308759158,200
3-node,150,0.11181121545527929,16.218878813146254,200
3-node,200,0.08535761466139523,12.390944463725823,200
3-node,400,0.0861035902618552,12.133960228742701,200
3-node,500,0.1106423820832867,15.431714812098688,200
3-node,700,0.08916099650316166,12.641515820078956,200
5-node,10,0.08622959969693675,12.538815072445288,200
5-node,50,0.09297294825115561,13.480291301958273,200
5-node,100,0.20678954056474524,29.205805504199,200
5-node,150,0.20576752362195536,29.227739807241825,200
5-node,200,0.22249071375113438,30.934795746981454,200
5-node,400,0.05958593101837559,8.03322324491337,200
5-node,500,0.10649430271921301,14.036231842440895,200
5-node,700,0.11585771610720463,15.020009770421025,200
ridge,10,0.07378530651244766,10.780085036737132,400
ridge,50,0.07444646103450213,10.870976809252845,400
ridge,100,0.06876164692536683,10.020558854051131,400
ridge,150,0.06332792067531677,9.110489917731314,400
ridge,200,0.06521024192501662,9.40770655675677,400
ridge,400,0.05501803384003758,7.686514326600674,400
ridge,500,0.05471926209149738,7.807638657175101,400
ridge,700,0.054980074833671864,7.961298985894158,400
3-node,10,0.15156886660687435,22.2651222283783,400
3-node,50,0.13503777607399506,19.849773345831018,400
3-node,100,0.13211307405291425,19.5649335872455,400
3-node,150,0.09578637481094136,13.934309883053253,400
3-node,200,0.08514166342315498,12.11128895439364,400
3-node,400,0.08068455361127,11.73458058329722,400
3-node,500,0.07919058142688107,11.431171801471972,400
3-node,700,0.07282202770533144,10.369058553837672,400
5-node,10,0.08575651555009696,12.093488004120381,400
5-node,50,0.08578653598535255,12.004776138904571,400
5-node,100,0.2726552945641987,39.300034042752856,400
5-node,150,0.26782478166999873,38.59011080715004,400
5-node,200,0.27333165461354836,39.317673395248335,400
5-node,400,0.06236897023147001,8.860971825511946,400
5-node,500,0.05083052745646476,6.9818295197413835,400
5-node,700,0.0659804536865559,9.098392285024051,400
ridge,10,0.08282280765193098,11.839186163530023,500
ridge,50,0.08410343517269589,12.030876060694027,500
ridge,100,0.08050033061004357,11.492951537252791,500
ridge,150,0.07514734708641876,10.636438789558397,500
ridge,200,0.07148038135987443,10.288361119306238,500
ridge,400,0.07999916303271971,11.18465186435489,500
ridge,500,0.07074875507087813,10.043785998152838,500
ridge,700,0.07212678164515052,10.407363172139393,500
3-node,10,0.14542191477839925,21.01412758741467,500
3-node,50,0.1367083546014951,19.590779535851564,500
3-node,100,0.13578605585367698,19.585338362450162,500
3-node,150,0.11346756555427229,16.215269325066924,500
3-node,200,0.10817546217044709,15.833977628106663,500
3-node,400,0.08914071760896905,12.827615614414867,500
3-node,500,0.09168478354115442,13.16382863385794,500
3-node,700,0.09014503042942706,12.99519007230709,500
5-node,10,0.07776646099300143,10.664093744346589,500
5-node,50,0.08080256109911013,10.990046958857667,500
5-node,100,0.28624562282299676,41.3507105071338,500
5-node,150,0.31922506943194484,45.96834026680712,500
5-node,200,0.33637845815928796,48.409035079308715,500
5-node,400,0.09191115355450333,13.130571140142283,500
5-node,500,0.08166485291809446,11.23209054917242,500
5-node,700,0.10999528979578109,15.105679142048903,500
ridge,10,0.06424366897364849,8.998631446526396,700
ridge,50,0.0640028908876434,8.994686802960624,700
ridge,100,0.06443683694569184,9.01730847535634,700
ridge,150,0.059550528773125645,8.266416880799392,700
ridge,200,0.06420890144451398,9.011776078400754,700
ridge,400,0.07370024757657696,10.245771781772921,700
ridge,500,0.07077288788001772,9.829207458944753,700
ridge,700,0.08449716819235409,11.7811693647595,700
3-node,10,0.11144278398042315,15.81755746675914,700
3-node,50,0.09135943926728357,13.114353489978086,700
3-node,100,0.09973309090444571,14.167682237077003,700
3-node,150,0.08321015392126024,11.600278007550772,700
3-node,200,0.1033955826676225,14.88083908995305,700
3-node,400,0.09417505085886102,13.561005476108463,700
3-node,500,0.08687029299278566,12.497462299885905,700
3-node,700,0.08721293067899259,12.340959302139343,700
5-node,10,0.06975267558141188,9.085473226069464,700
5-node,50,0.07431404661457945,9.658983672611017,700
5-node,100,0.289725599336733,41.578235099817526,700
5-node,150,0.3023936266509096,43.32560454971323,700
5-node,200,0.31677809540901253,45.476194582169995,700
5-node,400,0.08093444183860132,11.30304894826227,700
5-node,500,0.08096503702306106,10.851373813094634,700
5-node,700,0.10969816099057139,14.495403156478611,700
