Chain,Size,MAE,MAPE,Len_forecast,Time
ridge,10,0.11375501398451915,11.951180901966719,10,1.5322372000000002
ridge,50,0.14598259800976957,16.12141303989148,10,0.06533839999999991
ridge,100,0.15576262780957154,17.336081500626427,10,0.1072582999999998
ridge,150,0.158178248685423,17.624467022964105,10,0.15955749999999957
ridge,200,0.16904424881937538,19.034783669929073,10,0.21139889999999983
ridge,400,0.16727678782071687,18.492519204551687,10,0.4393475999999996
ridge,500,0.17617302842816837,19.74895082804367,10,0.5539046000000001
ridge,700,0.15731259670895784,17.47107279019867,10,0.8162125999999992
3-node,10,0.1396335843650249,15.576956875604859,10,2.6161285999999997
3-node,50,0.147728694868486,16.687751892339413,10,4.4676437
3-node,100,0.1489146282055847,16.795486041570097,10,7.153079800000002
3-node,150,0.14561092975612352,16.398156529500675,10,10.0501055
3-node,200,0.1445684083866432,16.23924792435095,10,12.819724
3-node,400,0.13303078979590852,14.66989905176118,10,25.21105930000001
3-node,500,0.14087437898729277,15.577523743552993,10,28.421498599999993
3-node,700,0.13592126462852908,15.169599838720133,10,35.91701450000001
5-node,10,0.34111463760244026,37.06077521487189,10,0.18016710000000558
5-node,50,0.24071175196845562,27.59823170421456,10,0.23385189999999056
5-node,100,0.2565740220702555,29.533445483223353,10,0.3401087000000018
5-node,150,0.25353557841544877,29.13920128733022,10,0.4529261000000133
5-node,200,0.2601650900951243,30.058260483774358,10,0.5516933000000108
5-node,400,0.258265995005614,29.461293686134805,10,1.0252676000000065
5-node,500,0.2678184190627225,30.932380425061112,10,1.2874999999999943
5-node,700,0.2513399385639761,28.80952028113511,10,1.8645391000000018
ridge,10,0.03304371038078056,3.90312103232943,50,0.06266650000000595
ridge,50,0.049109022744025184,5.753097816989202,50,0.10252950000000283
ridge,100,0.05503463106454606,6.433287797339047,50,0.1557202999999845
ridge,150,0.059538643336366895,6.950930351397144,50,0.2053600000000131
ridge,200,0.07034905560183571,8.188296063694429,50,0.27109310000000164
ridge,400,0.07790631809722176,8.925313216257376,50,0.5565673000000118
ridge,500,0.05306380143664896,6.180039151923065,50,0.7096929999999873
ridge,700,0.0691972338718345,7.888984515397814,50,0.9477725999999791
3-node,10,0.061932191966022974,7.040392130627099,50,11.490092799999985
3-node,50,0.06871200993390013,7.86962583165634,50,27.9357344
3-node,100,0.08957161554155858,10.365752216978569,50,40.6091768
3-node,150,0.09214571777573177,10.657645283040939,50,61.33658650000001
3-node,200,0.09763286705266074,11.319174488208551,50,68.26130180000001
3-node,400,0.08935622406307811,10.297573820735078,50,122.59794929999998
3-node,500,0.08222970897429921,9.416660233091253,50,140.34719249999995
3-node,700,0.08991271559717079,10.418450164853512,50,173.62266609999995
5-node,10,0.32537718450577074,35.81054742981662,50,0.2229535000000169
5-node,50,0.16854066297824988,18.57672213212813,50,0.23542889999998806
5-node,100,0.17503156790055807,19.34306416220961,50,0.32941139999991265
5-node,150,0.1717876596232406,18.95311631462589,50,0.43214960000000247
5-node,200,0.21059362179236188,23.506529270075355,50,0.5254164000000401
5-node,400,0.20071778511640515,21.7089385341949,50,0.951887499999998
5-node,500,0.1672224279845687,18.376882604786076,50,1.1922546999999213
5-node,700,0.13952380494909516,15.476151947632061,50,1.6879172000000153
ridge,10,0.08003494630853565,8.429996499361572,100,0.09864440000001196
ridge,50,0.06974772547525877,7.3157030822505655,100,0.13782870000000003
ridge,100,0.07012462134938123,7.341552364039893,100,0.18722509999997783
ridge,150,0.07087957432545558,7.474374676389351,100,0.2543291000000636
ridge,200,0.06545476199963873,6.939598272415903,100,0.3032968999999639
ridge,400,0.16022640872847402,17.62788488946827,100,0.5034689999999955
ridge,500,0.0986240602370948,10.451900618638215,100,0.6195205999999871
ridge,700,0.09647959100582434,10.504933113852424,100,0.8711088000000018
3-node,10,0.07689276174519252,8.231807826383566,100,20.6980362999999
3-node,50,0.08223762897108719,8.768057094337475,100,43.91994079999995
3-node,100,0.08193063894915081,8.902420781694202,100,80.55248169999993
3-node,150,0.09795911480881314,10.780183865304933,100,108.50742689999993
3-node,200,0.07184800778335167,7.699446215955088,100,132.15806999999995
3-node,400,0.10407414411591043,11.674703103942951,100,257.89906010000004
3-node,500,0.10499837737034415,11.644025834626344,100,282.940523
3-node,700,0.09140381457319333,10.208203859143408,100,356.5438323000001
5-node,10,0.3270613620026491,32.66993200878971,100,0.3324051999998119
5-node,50,0.12015864706682823,12.72264835589275,100,0.36082470000019384
5-node,100,0.1112977085419477,11.780942414664855,100,0.44162069999993037
5-node,150,0.11961549283564535,12.817558237604262,100,0.5911754999997356
5-node,200,0.1342297218290011,14.424459006562113,100,0.6640631000000212
5-node,400,0.2129714663344911,22.64165404606729,100,1.205009599999812
5-node,500,0.1374696734982077,14.81942457336228,100,1.4321340999999848
5-node,700,0.1108416626885076,12.240372706569996,100,2.025687100000141
ridge,10,0.08627134147008171,8.944284221228544,150,0.1531684999999925
ridge,50,0.07814520937860257,8.086664906663414,150,0.22461859999975786
ridge,100,0.08513013463898943,8.876800702134297,150,0.2522743999998056
ridge,150,0.08627813953167957,8.993977987735981,150,0.29858150000018213
ridge,200,0.08498740108594417,8.891409130927794,150,0.366935999999896
ridge,400,0.16243111205666247,17.441690610653584,150,0.6120952000001125
ridge,500,0.13575181115445278,14.493223161570858,150,0.8338896000000204
ridge,700,0.13435030222195196,14.384542347743198,150,1.084967400000096
3-node,10,0.10140922616913588,11.00554502202051,150,35.35915560000012
3-node,50,0.111498057467167,11.94517701013709,150,73.12724660000003
3-node,100,0.12228953932411608,13.409773137305567,150,116.24519180000016
3-node,150,0.11808148369855878,13.06545537937705,150,169.4248845000002
3-node,200,0.11028283798933046,12.07440910763758,150,203.2470171
3-node,400,0.12224154270076437,13.522441308748103,150,358.3294989000001
3-node,500,0.1069512005911867,11.944349620187815,150,366.97470569999996
3-node,700,0.1262981995948949,13.994773053968816,150,475.2319929999999
5-node,10,0.33208870310199196,33.29065523717639,150,0.4343057000000954
5-node,50,0.12496233274668406,13.37187845625159,150,0.4380952999999863
5-node,100,0.12057949856197643,12.849499292083363,150,0.5993189000000712
5-node,150,0.12332835482106497,13.259870355056458,150,0.6229370000000927
5-node,200,0.12510899066566789,13.618960912975279,150,0.7051053000000138
5-node,400,0.22443374650210027,23.696762612431105,150,1.165178400000059
5-node,500,0.16837845838330032,17.90406236776675,150,1.4744098000001031
5-node,700,0.16923994050801677,18.407837340485795,150,2.0146718000000874
ridge,10,0.11462795841608063,11.277952282128744,200,0.19190470000012283
ridge,50,0.09936678405724642,9.688808140508208,200,0.23075640000024578
ridge,100,0.10161272110895014,9.952798712961883,200,0.2820643999998538
ridge,150,0.10298372129827818,10.090025408419919,200,0.34256420000019716
ridge,200,0.09617312363986237,9.517484283480105,200,0.38225310000007084
ridge,400,0.17369916197120588,17.84471020835274,200,0.6096114000001762
ridge,500,0.15957398984189186,16.39003319652186,200,0.730695900000228
ridge,700,0.17600273027209842,17.971740368910705,200,1.0105376000001343
3-node,10,0.12889081141799882,13.269637934611705,200,48.39696809999987
3-node,50,0.12445857417707305,12.568861661937564,200,95.55648849999989
3-node,100,0.12990943460965884,13.490780028093974,200,135.17946520000032
3-node,150,0.139622167911421,14.71940331146472,200,187.5982215999993
3-node,200,0.13859345241313503,14.359918863198443,200,270.6271246999995
3-node,400,0.1337663736221117,14.172636966189906,200,409.6559979999993
3-node,500,0.1266819009126654,13.43047106375805,200,494.4235718
3-node,700,0.15046276830423358,15.734384075035553,200,668.5291395000004
5-node,10,0.34990634130487197,33.5358186753966,200,0.5102143000003707
5-node,50,0.14711428932968254,15.28605811951379,200,0.5249294000004738
5-node,100,0.12787332615407845,13.185515625653697,200,0.63396769999963
5-node,150,0.12941539664650084,13.378850841878279,200,0.738894000000073
5-node,200,0.11380874126227422,11.9957624146569,200,0.8401782999999341
5-node,400,0.19765981448173972,20.630552345949056,200,1.2924765999996453
5-node,500,0.174261208515482,18.209281114354805,200,1.5358704000000216
5-node,700,0.18197113664216036,19.04937948438108,200,2.129292199999327
ridge,10,0.14936365711454738,14.094156466249752,400,0.4090563999998267
ridge,50,0.1494025283420885,14.19351906102987,400,0.4513842000005752
ridge,100,0.16170643832704365,15.41592418292422,400,0.49914149999949586
ridge,150,0.1525961548994989,14.645764684871999,400,0.5453828999998223
ridge,200,0.1514293281817074,14.562905286180044,400,0.5959726999999475
ridge,400,0.19186776595253904,18.835980020796214,400,0.8311692000006587
ridge,500,0.2144198207981664,21.11574637190199,400,0.9591254000006302
