MAE,MAPE,Len_forecast,Time
0.005289999999999628,0.6386007368028983,10,78.24997990000003
0.006289451448616423,0.759169477448377,10,19.863531799999976
0.011536151160713071,1.391833770559532,10,31.632285299999978
0.0062895999999999066,0.7591873987893849,10,22.236598200000003
0.00642753439862459,0.7758161733687073,10,20.525657199999955
0.006351178714417027,0.7666162973539286,10,30.686674799999935
0.006346026318999864,0.7660042327773205,10,31.262766599999964
0.004255000000000309,0.5136011457318916,10,26.5521344
0.04451809402982551,5.379991660774976,50,61.092960699999935
0.01801663685372322,2.154886488940407,50,54.04475709999997
0.07801699093534595,9.447318532195684,50,46.19373159999998
0.015506556010987476,1.8548721451670094,50,54.92800039999997
0.04345468099491505,5.205239021659975,50,68.63324260000002
0.020551009464735318,2.4692331282387143,50,52.409913600000095
0.04279167834300291,5.185857394818186,50,48.45807869999999
0.014230379823652231,1.70104675551653,50,37.592587200000025
0.1395662470163001,17.359313188038467,100,98.63805510000009
0.12274830078019262,15.229259422711127,100,77.0345569000001
0.09432791371622101,11.749994277031872,100,76.13859580000008
0.16767495095508522,20.888482866584326,100,108.10341819999985
0.06747437987651278,8.395592350406512,100,85.71805969999991
0.1031900000000001,12.760736531029442,100,118.05416589999982
0.09898641542651643,12.23092577165821,100,77.50108060000002
0.15104392902857655,18.76453628620256,100,77.98660059999997
0.11836119265886684,15.292832067246056,150,118.08864900000003
0.09770824470474772,12.483642702970595,150,94.6111679999999
0.12959596542853352,16.48918822218313,150,104.27061570000001
0.11542707824824973,14.921282291469321,150,96.3422915000001
0.11068215850305958,14.118707480653947,150,95.40177709999989
0.11799892589148143,15.248060924667698,150,119.57124650000014
0.059162257038947154,7.654848733580512,150,92.62395470000001
0.08150133333333338,10.5928817493032,150,98.1930499
0.072412310123632,9.915828166131279,200,146.55827930000032
0.07605650000000003,10.258489953942908,200,139.20553759999984
0.07621350000000002,10.346570979054505,200,140.30098990000033
0.072412310123632,9.915828166131279,200,163.5401364999998
0.07605650000000003,10.258489953942908,200,143.2962275
0.07621350000000002,10.346570979054505,200,139.75492600000007
0.072412310123632,9.915828166131279,200,153.11955790000002
0.07605650000000003,10.258489953942908,200,142.08305719999998
0.11012386791301175,16.26824325154118,400,302.99091099999987
0.10078350832595058,14.876416778058704,400,298.0838838000004
0.2307893914407776,34.18126123244647,400,290.1817039999996
0.10482173877316413,15.489339154378817,400,295.00013599999966
0.1762756817774175,25.328694326057015,400,287.68091320000076
0.10990463230168519,16.235944383571002,400,241.08215910000035
0.0891802125038344,12.903268351404327,400,283.1097500999995
0.19529075555151493,28.921469660014242,400,282.5655266999993
0.09935683722858436,14.541991599967313,500,312.45773929999996
0.0574551432806076,8.136219914071628,500,369.46240600000056
0.06187505337338732,8.880060468082196,500,306.5937280999997
0.06523610432982953,8.505768763225438,500,369.82762189999994
0.08163717635221539,10.95532928943789,500,327.1319965999992
0.053454485453899775,7.547300902786444,500,347.9418084000008
0.10005554160891811,14.648216584693444,500,345.0008192999994
0.09492675535825577,13.904531634980213,500,361.73878739999964
0.059835820605701806,7.996710704374252,700,434.0183261000002
0.08167242736195185,11.846547502405562,700,432.9280183999999
0.07110590708754212,10.203167136011917,700,453.19099389999974
0.12442592302746652,18.031318865374917,700,366.98451170000044
0.11949168157896918,17.340967622475553,700,436.20703200000025
0.11346696082440626,16.46504881180326,700,389.3275216000002
0.19404185714285668,27.923051282761968,700,471.07866730000023
0.1431889569633982,20.72143692691437,700,350.0266444000008
