Chain,Size,MAE,MAPE,Len_forecast,Time,Depth
"['svr', 'linear', 'ridge']",10,0.11392940085263939,11.981458396208396,10,56.5326782,3
"['linear', 'linear', 'ridge', 'linear', 'knnreg']",50,0.13581190328745602,14.889736022630467,10,37.6696662,3
['ridge'],100,0.15576262780957154,17.336081500626427,10,127.8349647,1
"['svr', 'ridge']",150,0.15773155945537232,17.55856804529527,10,84.07641199999998,2
['ridge'],200,0.16904424881937538,19.034783669929073,10,141.41911620000002,1
['ridge'],400,0.16727678782071687,18.492519204551687,10,274.93470590000004,1
"['svr', 'ridge', 'knnreg', 'linear', 'ridge']",500,0.18283826806857167,20.558248555731,10,309.8536028,4
"['svr', 'ridge', 'linear', 'rfr', 'ridge']",700,0.16923809330231773,18.752942488586186,10,292.54195630000004,3
['ridge'],10,0.03304371038078056,3.90312103232943,50,78.68940639999983,1
['ridge'],50,0.049109022744025184,5.753097816989202,50,53.07267899999988,1
"['linear', 'ridge']",100,0.05504360488057415,6.433838206218434,50,67.89367160000006,2
['ridge'],150,0.059538643336366895,6.950930351397144,50,70.00596510000014,1
['ridge'],200,0.07034905560183571,8.188296063694429,50,119.22177420000003,1
['ridge'],400,0.07790631809722176,8.925313216257376,50,258.4451530000001,1
['lasso'],500,0.14889959814528594,18.38278811479115,50,267.2993119999999,1
"['lasso', 'dtreg', 'knnreg', 'dtreg']",700,0.14909105058365762,18.406362691090948,50,303.0676019000002,3
['ridge'],10,0.08003494630853565,8.429996499361572,100,141.54825610000034,1
['ridge'],50,0.06974772547525877,7.3157030822505655,100,73.87844189999987,1
"['ridge', 'knnreg', 'linear', 'knnreg', 'linear', 'ridge', 'linear', 'ridge']",100,0.07337727557113444,7.676013304113913,100,94.5019342999999,4
['ridge'],150,0.07087957432545558,7.474374676389351,100,124.86684760000026,1
['linear'],200,0.06517193139342949,6.907152201738613,100,128.06580759999997,1
['lasso'],400,0.13682164383561646,15.900719859466395,100,292.1655095000001,1
['lasso'],500,0.13802587127158555,16.073221874640392,100,301.3928012000001,1
"['dtreg', 'lasso']",700,0.08931018084393838,9.780315017137465,100,275.78693499999963,2
['ridge'],10,0.08627134147008171,8.944284221228544,150,102.38610019999987,1
['ridge'],50,0.07814520937860257,8.086664906663414,150,106.84646950000024,1
"['svr', 'svr', 'rfr', 'ridge', 'dtreg', 'lasso', 'rfr', 'knnreg']",100,0.12081895762548929,12.994616600409655,150,149.64248820000012,4
"['svr', 'linear', 'knnreg', 'rfr', 'linear', 'ridge']",150,0.1119937515191579,12.061169764127799,150,205.85421289999977,4
['ridge'],200,0.08498740108594417,8.891409130927794,150,191.25562460000037,1
['lasso'],400,0.13958207109737247,15.811380535891505,150,294.2515220000005,1
"['svr', 'lasso', 'ridge', 'linear', 'lasso']",500,0.13232207773363594,14.274906433504201,150,284.84914430000026,3
"['knnreg', 'ridge', 'rfr', 'lasso', 'ridge', 'rfr', 'lasso']",700,0.08998666666666666,9.442132471501475,150,297.2340805999993,4
['ridge'],10,0.11462795841608063,11.277952282128744,200,89.74025369999981,1
['ridge'],50,0.09936678405724642,9.688808140508208,200,100.85692990000007,1
"['knnreg', 'ridge']",100,0.11552,11.405277378451657,200,82.64717670000027,2
['ridge'],150,0.10298372129827818,10.090025408419919,200,166.35393870000007,1
['knnreg'],200,0.12296999999999998,12.671037637160342,200,220.13759889999983,1
['lasso'],400,0.1422153689167975,15.160611553282315,200,227.96501340000032,1
"['lasso', 'linear', 'linear', 'linear']",500,0.1414929963459196,15.059154083249329,200,256.83458659999997,3
['lasso'],700,0.14347512998266898,15.363234327601633,200,301.2194829,1
['linear'],10,0.1470664631273015,13.891506281388876,400,119.31255199999941,1
['ridge'],50,0.1494025283420885,14.19351906102987,400,130.4064402999993,1
['ridge'],100,0.16170643832704365,15.41592418292422,400,175.2157559999996,1
['ridge'],150,0.1525961548994989,14.645764684871999,400,203.57457440000053,1
['ridge'],200,0.1514293281817074,14.562905286180044,400,148.7161797000008,1
['ridge'],400,0.19186776595253904,18.835980020796214,400,291.45101440000053,1
"['svr', 'lasso', 'knnreg']",500,0.1328,12.861869407867182,400,294.98971640000036,3
"['lasso', 'linear', 'ridge', 'dtreg', 'dtreg']",700,0.13258850518806745,12.947809863619597,400,281.29456629999913,3
['linear'],10,0.17691418723808877,16.16657244740867,500,165.88006499999938,1
['ridge'],50,0.17474960077001497,15.92833672631357,500,253.14985329999945,1
['ridge'],100,0.19005111618278858,17.385077661398277,500,158.452981800001,1
['ridge'],150,0.17653062294679397,16.151759098614104,500,218.6611111000002,1
['ridge'],200,0.1747919942052854,16.059515572348708,500,173.51627259999987,1
['lasso'],400,0.14769488388214905,13.601675442607716,500,278.8025753999991,1
"['linear', 'lasso', 'knnreg', 'lasso', 'linear']",500,0.14566933008526187,13.374406257388689,500,308.7020678000008,3
"['rfr', 'lasso', 'ridge']",700,0.14517713203631658,13.359172775467213,500,263.36279789999935,3
['linear'],10,0.19184446335171954,17.292372797476105,700,209.29627840000103,1
['linear'],50,0.19648917446192807,17.836343324528244,700,198.97023769999942,1
['knnreg'],100,0.20587428571428576,18.848713314217242,700,311.75305619999926,1
['lasso'],150,0.16334815770260405,14.530858017925178,700,264.94761389999985,1
['lasso'],200,0.1627073384501114,14.495924611572402,700,222.28233210000144,1
"['lasso', 'dtreg']",400,0.15898323201621073,14.163816526087727,700,303.8428092000013,2
"['lasso', 'knnreg']",500,0.1576880807377762,14.099277068120406,700,290.41056189999836,2
