Chain,Iteration,MAE before tuning,MAE after tuning,Time
"['lasso', 'knnreg', 'ridge']",0,1.382210363616889,1.3313483680837777,1.3097812000000886
"['lasso', 'knnreg', 'ridge']",1,1.382210363616889,1.382061822933013,1.389178500000071
"['lasso', 'knnreg', 'ridge']",2,1.382210363616889,1.3614406673125996,1.3021536999999626
"['lasso', 'knnreg', 'ridge']",3,1.382210363616889,1.3317492207084343,1.3463176000000203
"['lasso', 'knnreg', 'ridge']",4,1.382210363616889,1.3273049477661059,1.3347641999998814
"['lasso', 'knnreg', 'ridge']",5,1.382210363616889,1.3298015586246248,1.3503336999999647
"['lasso', 'knnreg', 'ridge']",6,1.382210363616889,1.3296672174188815,1.283096599999908
"['lasso', 'knnreg', 'ridge']",7,1.382210363616889,1.417533038441765,1.2932548999999653
"['lasso', 'knnreg', 'ridge']",8,1.382210363616889,1.3157663297042888,1.3267663999999968
"['lasso', 'knnreg', 'ridge']",9,1.382210363616889,1.3225069999846557,1.3222086999999192
"['lasso', 'knnreg', 'ridge']",10,1.382210363616889,1.3572286338828186,1.3156010000000151
"['lasso', 'knnreg', 'ridge']",11,1.382210363616889,1.229677317939837,1.2923045000000002
"['lasso', 'knnreg', 'ridge']",12,1.382210363616889,1.3139210796220073,1.3063215000001946
"['lasso', 'knnreg', 'ridge']",13,1.382210363616889,1.3380317342265504,1.2874228999999104
"['lasso', 'knnreg', 'ridge']",14,1.382210363616889,1.3572286338828186,1.2790502000000288
"['lasso', 'knnreg', 'ridge']",15,1.382210363616889,1.3202862976320138,1.3484052000001157
"['lasso', 'knnreg', 'ridge']",16,1.382210363616889,1.413174075022796,1.3134354000001167
"['lasso', 'knnreg', 'ridge']",17,1.382210363616889,1.3428640122581283,1.3747650000000249
"['lasso', 'knnreg', 'ridge']",18,1.382210363616889,1.3639811869057985,1.3394908000000214
"['lasso', 'knnreg', 'ridge']",19,1.382210363616889,1.319550258140656,1.3193471000001864
"['lasso', 'knnreg', 'ridge']",20,1.382210363616889,1.2352769890005286,1.3064503999999033
"['lasso', 'knnreg', 'ridge']",21,1.382210363616889,1.3489189527637218,1.2898470000000088
