U,V,Date
-9.735325241769928,-5.3221560624565765,2009-10-01 00:00:00
-10.030987979491398,-5.617599946002054,2009-10-01 01:00:00
-9.998338106614181,-5.916262172505542,2009-10-01 02:00:00
-9.693001332484647,-6.5798844904475615,2009-10-01 03:00:00
-9.273994630560354,-7.0658542771073325,2009-10-01 04:00:00
-9.001912356583542,-7.582720156164017,2009-10-01 05:00:00
-8.661507200474775,-7.866578005060651,2009-10-01 06:00:00
-8.539977118098465,-8.160090882831321,2009-10-01 07:00:00
-8.23584959851994,-8.564314758357595,2009-10-01 08:00:00
-7.856748296778914,-9.056077562341788,2009-10-01 09:00:00
-7.49759969512952,-9.989397020165189,2009-10-01 10:00:00
-6.842183728483154,-10.360793797519744,2009-10-01 11:00:00
-6.360295789906444,-10.680053418954508,2009-10-01 12:00:00
-6.10151531599072,-10.842257904038298,2009-10-01 13:00:00
-5.927382660645559,-11.058530550816688,2009-10-01 14:00:00
-5.591814522740824,-11.150575159415823,2009-10-01 15:00:00
-4.991419638165324,-10.943313872919868,2009-10-01 16:00:00
-4.918864365104841,-11.106805695186862,2009-10-01 17:00:00
-5.264106539417641,-11.397100229999522,2009-10-01 18:00:00
-5.522282386057861,-11.800680436934192,2009-10-01 19:00:00
-5.514422231476308,-11.984125985540862,2009-10-01 20:00:00
-5.583954368159271,-12.600116827704307,2009-10-01 21:00:00
-5.230852039264919,-13.095741643238114,2009-10-01 22:00:00
-4.90072554683972,-13.351921742695847,2009-10-01 23:00:00
-4.498648408629541,-13.587504447222306,2009-10-02 00:00:00
-4.028853015562912,-13.571412732432247,2009-10-02 01:00:00
-3.5663131498023306,-13.62161888257723,2009-10-02 02:00:00
-3.362553757957473,-13.705939468077137,2009-10-02 03:00:00
-2.985266338042959,-13.454908717352223,2009-10-02 04:00:00
-2.4507758264973987,-13.191004594795261,2009-10-02 05:00:00
-2.0196765790630264,-13.26760115719594,2009-10-02 06:00:00
-1.7191768231375246,-13.041029812951914,2009-10-02 07:00:00
-1.5680200042615176,-12.774551016028543,2009-10-02 08:00:00
-1.1375253841026496,-12.800941428284238,2009-10-02 09:00:00
-0.6689392455870278,-12.584025112914247,2009-10-02 10:00:00
-0.4482502900280575,-12.710184156868308,2009-10-02 11:00:00
-0.264443598274833,-12.585956118689055,2009-10-02 12:00:00
0.01428957573252393,-12.199111295136046,2009-10-02 13:00:00
0.5137117052988511,-11.919759126380626,2009-10-02 14:00:00
0.9236489980905821,-11.691256776361794,2009-10-02 15:00:00
1.1582443809861451,-11.502661879022305,2009-10-02 16:00:00
1.373491691065579,-11.328227690698071,2009-10-02 17:00:00
1.6256212649507586,-11.17439089730511,2009-10-02 18:00:00
1.6903163834296897,-10.97420996531678,2009-10-02 19:00:00
1.4962310279928968,-10.60410052514543,2009-10-02 20:00:00
1.3620037728310024,-10.006776072138452,2009-10-02 21:00:00
2.0077457030693044,-9.217638378833977,2009-10-02 22:00:00
2.372940577473737,-8.849459944437434,2009-10-02 23:00:00
2.7103225972049847,-8.570107775682017,2009-10-03 00:00:00
3.2949971726173803,-8.346754774396002,2009-10-03 01:00:00
4.053804403374936,-8.219308393258737,2009-10-03 02:00:00
4.3766753684940864,-8.06096591972456,2009-10-03 03:00:00
4.3778846230450945,-8.040368524793285,2009-10-03 04:00:00
4.062873812507496,-7.80028014012561,2009-10-03 05:00:00
3.564660937492177,-7.4494807577023305,2009-10-03 06:00:00
3.0761220988849223,-6.940338901744875,2009-10-03 07:00:00
2.605117451267284,-6.152488545623603,2009-10-03 08:00:00
2.4279616595446036,-5.242984825689488,2009-10-03 09:00:00
3.0549601442422807,-3.6737207993629672,2009-10-03 10:00:00
3.360296918371815,-2.7622860736540447,2009-10-03 11:00:00
3.7859545203266514,-1.9119998641473452,2009-10-03 12:00:00
4.178962249404269,-0.9664507030834986,2009-10-03 13:00:00
3.8040933385917715,-0.2700012869697599,2009-10-03 14:00:00
3.019287134987543,0.5255730922507404,2009-10-03 15:00:00
2.7314845518476263,1.821921635737866,2009-10-03 16:00:00
2.6002804330632516,3.0519723142899493,2009-10-03 17:00:00
2.2598752769544843,4.2833103300252375,2009-10-03 18:00:00
2.362661913790169,5.166423637703657,2009-10-03 19:00:00
2.771994579306396,5.415523382653765,2009-10-03 20:00:00
2.826411034101758,5.565498164497113,2009-10-03 21:00:00
2.3463369773515605,5.448350480825486,2009-10-03 22:00:00
3.075517471609418,5.7656790964854405,2009-10-03 23:00:00
3.19583829943472,5.5037059797032875,2009-10-04 00:00:00
2.745995606459723,5.1947450557341615,2009-10-04 01:00:00
2.5954434148592194,5.131021865165529,2009-10-04 02:00:00
2.863897925183008,5.555199467031475,2009-10-04 03:00:00
2.9836141257328057,5.843562996069325,2009-10-04 04:00:00
2.219969876771218,5.912435535370776,2009-10-04 05:00:00
1.5282762735946103,6.310222724981026,2009-10-04 06:00:00
0.8390011795200182,6.406773013721379,2009-10-04 07:00:00
0.1213086034967369,6.452473483725145,2009-10-04 08:00:00
-0.2898379438460022,6.969339362781829,2009-10-04 09:00:00
-1.2439397845913585,7.684455168052036,2009-10-04 10:00:00
-1.0365526290934768,8.320399736555155,2009-10-04 11:00:00
-0.5613155905473107,8.763243727577569,2009-10-04 12:00:00
-0.4966204720683798,8.828897923921007,2009-10-04 13:00:00
-0.586105308842976,9.273672920718228,2009-10-04 14:00:00
-0.6943335911581969,9.355418831851727,2009-10-04 15:00:00
-1.061342347389142,9.038733884783372,2009-10-04 16:00:00
-1.7101074140049641,8.91193117223771,2009-10-04 17:00:00
-2.4187305808956854,9.198363695500754,2009-10-04 18:00:00
-2.743415427841348,9.78152743949248,2009-10-04 19:00:00
-2.761554246106469,10.277795923617889,2009-10-04 20:00:00
-2.8486205737790486,10.603492230968676,2009-10-04 21:00:00
-4.366839662569663,11.084956337487231,2009-10-04 22:00:00
-3.6842154685256157,11.706096528383496,2009-10-04 23:00:00
-2.4598452356299587,12.059470585173184,2009-10-05 00:00:00
-2.277852425703246,11.670694755845366,2009-10-05 01:00:00
-2.7506709551473962,11.637223989082045,2009-10-05 02:00:00
-3.2500930847137237,10.74445565252959,2009-10-05 03:00:00
-3.073541920266547,11.300585315674018,2009-10-05 04:00:00
-2.456822099252439,10.867396353525638,2009-10-05 05:00:00
-2.2875264621113107,10.376277218133048,2009-10-05 06:00:00
-2.4132889354161486,10.051224579373864,2009-10-05 07:00:00
-2.4290092445792535,10.026121504301372,2009-10-05 08:00:00
-1.8673105056360113,9.255650200153363,2009-10-05 09:00:00
0.3426021863312112,7.796453502990843,2009-10-05 10:00:00
1.3855842365756597,6.904972503621595,2009-10-05 11:00:00
1.6897117561541857,5.474097224489579,2009-10-05 12:00:00
1.349306600045418,4.756406744852963,2009-10-05 13:00:00
1.1818248447308022,4.67079882216985,2009-10-05 14:00:00
1.0760150715175971,4.636684386814926,2009-10-05 15:00:00
1.2090330721284834,4.2260238253726286,2009-10-05 16:00:00
1.6002269193795895,3.774812142659385,2009-10-05 17:00:00
2.2532243769239395,3.0436046225991196,2009-10-05 18:00:00
2.6184192513283726,2.0298265908254236,2009-10-05 19:00:00
2.623256269532405,1.026347256517366,2009-10-05 20:00:00
2.4745179597584137,0.10590117052601045,2009-10-05 21:00:00
0.8117929521223369,-0.5686635134732485,2009-10-05 22:00:00
0.23739704039351028,-0.6755124996792381,2009-10-05 23:00:00
-0.00022147887957274515,-0.7521090620799171,2009-10-06 00:00:00
0.49254975065621015,-0.9625886915338844,2009-10-06 01:00:00
1.7102690835213226,-1.482029244956978,2009-10-06 02:00:00
2.8505961251219194,-2.4282220746124272,2009-10-06 03:00:00
3.361506172922823,-3.3673345497602503,2009-10-06 04:00:00
3.3427627273821985,-3.9717393572748536,2009-10-06 05:00:00
3.036216698701656,-4.033531542068679,2009-10-06 06:00:00
2.786505633918493,-3.5855382023134457,2009-10-06 07:00:00
2.6764634697767598,-2.889088786199707,2009-10-06 08:00:00
2.6728357061237356,-1.995033112464048,2009-10-06 09:00:00
3.1305385536802843,-1.35908854396093,2009-10-06 10:00:00
2.6625570424401666,-0.9619450229422821,2009-10-06 11:00:00
2.0500696123545863,-0.21014010795074167,2009-10-06 12:00:00
1.0028551711816098,0.45155120421647066,2009-10-06 13:00:00
-0.4010893625387434,1.0939324586356123,2009-10-06 14:00:00
-1.5619737315064772,1.8386570191195264,2009-10-06 15:00:00
-2.5481208178535466,2.2139158080236947,2009-10-06 16:00:00
-3.5040365404254157,2.240306220279391,2009-10-06 17:00:00
-4.3154463441518205,2.1649969950619163,2009-10-06 18:00:00
-4.931561537890425,2.016309550401774,2009-10-06 19:00:00
-5.580931231781752,1.7955312234821696,2009-10-06 20:00:00
-6.258113780346263,1.7157163181234787,2009-10-06 21:00:00
-6.7472572462290215,1.9628850572987795,2009-10-06 22:00:00
-7.289003285080631,2.1727210181611443,2009-10-06 23:00:00
-7.652384277658552,2.116078182100138,2009-10-07 00:00:00
-8.009718997481432,2.374832955924281,2009-10-07 01:00:00
-7.854934414952401,2.1051358160428983,2009-10-07 02:00:00
-7.765449578177805,1.530339763742003,2009-10-07 03:00:00
-8.497653208813183,1.0463009828570384,2009-10-07 04:00:00
-10.282512926101074,0.8371086905862759,2009-10-07 05:00:00
-11.620553086791487,0.6755478740940868,2009-10-07 06:00:00
-11.887798342564269,0.44640185548365174,2009-10-07 07:00:00
-11.40772428581407,0.3093004454723518,2009-10-07 08:00:00
-11.24870731235651,0.387184345056236,2009-10-07 09:00:00
-10.92281321085984,-0.11873916794320838,2009-10-07 10:00:00
-10.98448519296125,-0.7527527306715196,2009-10-07 11:00:00
-11.16466412106145,-1.2715496155030106,2009-10-07 12:00:00
-10.84783942869734,-1.8656557255519763,2009-10-07 13:00:00
-10.3163720535293,-2.731389981257132,2009-10-07 14:00:00
-9.738953005422953,-3.757397716271272,2009-10-07 15:00:00
-9.376176640120535,-4.812370537907518,2009-10-07 16:00:00
-8.53151233624141,-6.005088438146666,2009-10-07 17:00:00
-7.443787867609662,-7.107692735561486,2009-10-07 18:00:00
-6.513266490608963,-8.055816570991741,2009-10-07 19:00:00
-5.562187786241127,-8.667945401605573,2009-10-07 20:00:00
-5.279826848580745,-9.430692682654353,2009-10-07 21:00:00
-5.018627865563006,-10.172198900180256,2009-10-07 22:00:00
-5.066393420327824,-10.39555190146627,2009-10-07 23:00:00
-4.684268982209278,-10.564193072466086,2009-10-08 00:00:00
-4.472649435782868,-10.734765249240708,2009-10-08 01:00:00
-4.273122434866539,-10.701938151068987,2009-10-08 02:00:00
