U,V,Date
7.9356462206999225,-5.7156093049503784,2019-05-01 00:00:00
7.866785620801927,-4.952185301207838,2019-05-01 01:00:00
7.927163393176256,-4.568893801397791,2019-05-01 02:00:00
7.724074522462606,-4.6483951976496,2019-05-01 03:00:00
7.283965470940647,-4.529406352928349,2019-05-01 04:00:00
7.46809272718963,-4.978510266854133,2019-05-01 05:00:00
7.145745281290324,-4.756327556799407,2019-05-01 06:00:00
6.739068550008694,-4.070825451369899,2019-05-01 07:00:00
6.428696860613389,-3.339517905715839,2019-05-01 08:00:00
6.076410023454086,-2.743520683483732,2019-05-01 09:00:00
5.504567650388138,-1.8063519064756481,2019-05-01 10:00:00
5.213157575457496,-1.983255675618747,2019-05-01 11:00:00
4.85737780931786,-1.9179697608159367,2019-05-01 12:00:00
4.683729340009876,-1.8289913769314614,2019-05-01 13:00:00
4.809973773156198,-1.6415576215298446,2019-05-01 14:00:00
5.055476781488176,-1.6126001593189208,2019-05-01 15:00:00
5.247088885552159,-1.7816064387681316,2019-05-01 16:00:00
5.092901020563174,-2.2201803664353976,2019-05-01 17:00:00
4.787020239856867,-2.6018923683066673,2019-05-01 18:00:00
4.378846539012237,-2.807227100347764,2019-05-01 19:00:00
4.013585965640269,-2.605051364184223,2019-05-01 20:00:00
3.7276647791072937,-2.48500952083712,2019-05-01 21:00:00
3.2526264377820024,-3.213684569926551,2019-05-01 22:00:00
3.407313292625322,-2.737202691728621,2019-05-01 23:00:00
3.5854526706223067,-2.4518400641227887,2019-05-02 00:00:00
3.5235779286849787,-2.1580534475101425,2019-05-02 01:00:00
3.6183860010083033,-1.7921364250266492,2019-05-02 02:00:00
3.6223779198429695,-1.555211734209999,2019-05-02 03:00:00
3.1742850306516766,-1.4262194025431558,2019-05-02 04:00:00
2.7471497153423807,-1.3203930406450524,2019-05-02 05:00:00
2.4916669099237363,-0.7791517469572375,2019-05-02 06:00:00
2.3319901565370844,-0.22158897456872073,2019-05-02 07:00:00
2.243169962465759,0.1295860671528477,2019-05-02 08:00:00
2.1244103771344363,0.5302520442894496,2019-05-02 09:00:00
1.6004710300844827,0.10747309600996036,2019-05-02 10:00:00
0.747198379174558,-0.4216587134805587,2019-05-02 11:00:00
-0.13301972386936445,-0.9871189755629639,2019-05-02 12:00:00
-0.5312136276273289,-0.6427884249094322,2019-05-02 13:00:00
-0.850567134400634,-0.2268539676979795,2019-05-02 14:00:00
-1.692363018660893,-0.6222549517053226,2019-05-02 15:00:00
-2.0536316731981943,-0.41323472447374443,2019-05-02 16:00:00
-2.6429386911658086,-0.6269934455216557,2019-05-02 17:00:00
-2.859999277800789,-0.06890417382021274,2019-05-02 18:00:00
-3.650898196919053,-0.8128477029844947,2019-05-02 19:00:00
-5.136390993269254,-2.346540201537611,2019-05-02 20:00:00
-5.602447517216547,-1.4899258194071887,2019-05-02 21:00:00
-6.023095964419509,-0.9244655573247833,2019-05-02 22:00:00
-6.572982783894794,-1.0945248353998456,2019-05-02 23:00:00
-6.953213052896761,-0.8549676480185657,2019-05-03 00:00:00
-7.165782730842741,-0.6922793603244659,2019-05-03 01:00:00
-7.366376652284723,-0.9492110250322998,2019-05-03 02:00:00
-7.75409176910169,-1.2477361354612793,2019-05-03 03:00:00
-8.288010913238308,-1.8289913769314614,2019-05-03 04:00:00
-8.960649236879583,-2.764054156687841,2019-05-03 05:00:00
-9.500556259268201,-3.3447828988450974,2019-05-03 06:00:00
-9.981083488991159,-3.557488621267157,2019-05-03 07:00:00
-10.450133952064451,-3.550117630886194,2019-05-03 08:00:00
-10.675677366223097,-3.578548593784192,2019-05-03 09:00:00
-10.159721856842477,-4.005013037254163,2019-05-03 10:00:00
-10.41520466226112,-3.964472590158869,2019-05-03 11:00:00
-10.177186501744142,-4.050818477478716,2019-05-03 12:00:00
-10.113814790243813,-4.4098910088941725,2019-05-03 13:00:00
-10.101839033739815,-5.179633004391823,2019-05-03 14:00:00
-9.898750163026167,-5.872506100202293,2019-05-03 15:00:00
-9.369321927578547,-6.530103742046729,2019-05-03 16:00:00
-9.669214830032853,-7.292474747163418,2019-05-03 17:00:00
-9.02551791794291,-7.905846446722078,2019-05-03 18:00:00
-9.056455288911573,-8.786153297934167,2019-05-03 19:00:00
-8.82841692548126,-9.417425974132307,2019-05-03 20:00:00
-8.684707847433273,-9.868635885309795,2019-05-03 21:00:00
-7.808481663224018,-10.873196574372392,2019-05-03 22:00:00
-7.825946308125683,-10.558876484555636,2019-05-03 23:00:00
-7.6043948128017025,-10.226128918786474,2019-05-04 00:00:00
-7.4621827043167155,-10.028691676439266,2019-05-04 01:00:00
-7.192728182976738,-9.926024310418716,2019-05-04 02:00:00
-6.899821138483098,-9.936554296677235,2019-05-04 03:00:00
-6.838445386400103,-9.97814774239838,2019-05-04 04:00:00
-6.460211076815471,-9.556948292057669,2019-05-04 05:00:00
-6.674277724324451,-9.459545919166379,2019-05-04 06:00:00
-6.8264696298961045,-9.320023601241019,2019-05-04 07:00:00
-6.831958518293771,-9.259476180254541,2019-05-04 08:00:00
-6.854912051593102,-9.099946888437996,2019-05-04 09:00:00
-7.201211010500405,-9.034660973635185,2019-05-04 10:00:00
-7.295520092969397,-8.503423166892963,2019-05-04 11:00:00
-7.766067525605688,-8.520797644219519,2019-05-04 12:00:00
-7.766067525605688,-8.287558448593348,2019-05-04 13:00:00
-7.764570556042688,-8.145930133416284,2019-05-04 14:00:00
-8.040012955634664,-8.171728599749652,2019-05-04 15:00:00
-7.909776603653675,-8.105916185633918,2019-05-04 16:00:00
-7.776546312546687,-8.247544500810982,2019-05-04 17:00:00
-7.671758443136696,-8.467621213614002,2019-05-04 18:00:00
-7.718663489444026,-8.778782307553204,2019-05-04 19:00:00
-7.208196868461071,-8.807213270451202,2019-05-04 20:00:00
-6.595437327339792,-8.682959432600692,2019-05-04 21:00:00
-6.235665642365491,-8.863548696934272,2019-05-04 22:00:00
-5.810027296619195,-8.434451756899671,2019-05-04 23:00:00
-5.7202091228392025,-8.369692341409788,2019-05-05 00:00:00
-5.836972748753192,-8.516059150403185,2019-05-05 01:00:00
-5.724201041673869,-8.736135863206206,2019-05-05 02:00:00
-5.317025320537905,-8.940417596621451,2019-05-05 03:00:00
-4.997172823910267,-9.183660279193212,2019-05-05 04:00:00
-4.789094054653285,-9.457439921914675,2019-05-05 05:00:00
-4.01615877029102,-9.628552198615589,2019-05-05 06:00:00
-3.382441655287743,-9.91812682072483,2019-05-05 07:00:00
-3.0126901732267757,-10.162949001235367,2019-05-05 08:00:00
-2.7756699924184636,-10.260877873439583,2019-05-05 09:00:00
-3.033647747108774,-10.435149146018052,2019-05-05 10:00:00
-3.0745649151641037,-10.585727949514856,2019-05-05 11:00:00
-2.7696821141664643,-10.550452495548821,2019-05-05 12:00:00
-3.0291568384197745,-10.643642873936704,2019-05-05 13:00:00
-2.7806598909617963,-10.5520319934876,2019-05-05 14:00:00
-2.684853838929805,-10.586780948140708,2019-05-05 15:00:00
-2.3699912408454997,-10.627847894548928,2019-05-05 16:00:00
-2.328076093081503,-10.782112193236214,2019-05-05 17:00:00
-1.9268882501975386,-10.675232832712258,2019-05-05 18:00:00
-2.053132683343861,-10.796327674685212,2019-05-05 19:00:00
-2.018702383394864,-10.679971326528591,2019-05-05 20:00:00
-2.1698963092578505,-10.545187502419564,2019-05-05 21:00:00
-2.2177993352738463,-10.632586388365262,2019-05-05 22:00:00
-1.9752902660678677,-10.170846490929256,2019-05-05 23:00:00
-1.68737312011756,-10.015002694303192,2019-05-06 00:00:00
-1.4663206146479129,-9.892854853704385,2019-05-06 01:00:00
-0.9044580386686292,-9.54641830579915,2019-05-06 02:00:00
-0.23331668459035537,-9.14575232866255,2019-05-06 03:00:00
0.40239638983025516,-8.240700009742945,2019-05-06 04:00:00
0.7956003950448869,-7.538349926299809,2019-05-06 05:00:00
1.2292225784605155,-6.663308068216979,2019-05-06 06:00:00
1.7621437428884676,-5.988335949045989,2019-05-06 07:00:00
