U,V,Date
6.536796000512682,-3.2032947343532303,2019-03-01 00:00:00
6.469807194991851,-2.763140664711783,2019-03-01 01:00:00
6.373425342150654,-2.683346652086725,2019-03-01 02:00:00
6.110255034747388,-2.784376168071677,2019-03-01 03:00:00
5.862806589864316,-2.7444791617591484,2019-03-01 04:00:00
5.490950363299699,-2.797246170107977,2019-03-01 05:00:00
5.250337510816713,-2.1331540650349154,2019-03-01 06:00:00
5.214108871096263,-1.6987914963098025,2019-03-01 07:00:00
5.149170743295457,-1.4137209512057656,2019-03-01 08:00:00
5.153955657975516,-0.9922283845169524,2019-03-01 09:00:00
5.501203751899826,-1.1267199057962833,2019-03-01 10:00:00
5.240767681456594,-1.3133349353226282,2019-03-01 11:00:00
4.654273853529313,-1.722601000076957,2019-03-01 12:00:00
3.994639186921125,-1.9561915370357954,2019-03-01 13:00:00
3.3937906149536663,-2.2103740772527134,2019-03-01 14:00:00
2.6432425694243493,-2.6640416490322756,2019-03-01 15:00:00
1.9808736658561268,-2.51346262520757,2019-03-01 16:00:00
1.4524823733295675,-1.9896535423301744,2019-03-01 17:00:00
1.0307263222443321,-1.6389459868410092,2019-03-01 18:00:00
0.33759725287572784,-1.4413914555838097,2019-03-01 19:00:00
-0.3657852050930037,-1.4671314596564091,2019-03-01 20:00:00
-1.316616107944807,-1.3339269385807078,2019-03-01 21:00:00
-2.829332706083585,-1.5327684700415372,2019-03-01 22:00:00
-3.5586904151726393,-1.325561437257113,2019-03-01 23:00:00
-4.5464335169849015,-1.998662543755584,2019-03-02 00:00:00
-5.5526327182773905,-1.9516870363230905,2019-03-02 01:00:00
-6.670252075691266,-2.4465386146188117,2019-03-02 02:00:00
-7.935520228946972,-2.8667441811039946,2019-03-02 03:00:00
-8.984783662359996,-3.3886227636759454,2019-03-02 04:00:00
-9.73328103016929,-4.7148764735166235,2019-03-02 05:00:00
-10.174860299214771,-5.940100667372349,2019-03-02 06:00:00
-11.029309349225377,-6.756702296575561,2019-03-02 07:00:00
-11.66023452775321,-7.922080980962493,2019-03-02 08:00:00
-12.167435483839505,-9.15116617542911,2019-03-02 09:00:00
-12.93712318808906,-11.357728024552683,2019-03-02 10:00:00
-13.689721911338403,-11.777933591037867,2019-03-02 11:00:00
-13.823015963140056,-11.783081591852385,2019-03-02 12:00:00
-14.198289985904715,-12.567508215964848,2019-03-02 13:00:00
-13.963145607341797,-13.23674832185243,2019-03-02 14:00:00
-13.66784801565813,-13.727095399435447,2019-03-02 15:00:00
-13.536604641576503,-14.354507998705053,2019-03-02 16:00:00
-13.819598166940015,-14.696850052870625,2019-03-02 17:00:00
-13.267282301013159,-14.093246957368171,2019-03-02 18:00:00
-12.944642339729153,-13.755409403915305,2019-03-02 19:00:00
-12.223487341520201,-13.340351838244642,2019-03-02 20:00:00
-11.815402475235135,-12.938164274610278,2019-03-02 21:00:00
-11.306834400668823,-12.716800239585924,2019-03-02 22:00:00
-10.20220266881511,-11.263777009687695,2019-03-02 23:00:00
-9.06954500812105,-9.900843794043563,2019-03-03 00:00:00
-9.238384140403145,-8.74190011067478,2019-03-03 01:00:00
-8.182285114590035,-7.015389337505184,2019-03-03 02:00:00
-7.098160159936578,-5.582314610763219,2019-03-03 03:00:00
-6.210900266405563,-4.496729939001344,2019-03-03 04:00:00
-5.305184273394319,-3.9896518587711385,2019-03-03 05:00:00
-4.607953848585664,-4.108055877505095,2019-03-03 06:00:00
-4.100069333259359,-4.718737474127513,2019-03-03 07:00:00
-3.8006703861356432,-5.232894055477684,2019-03-03 08:00:00
-3.5163097422921132,-5.905995161976154,2019-03-03 09:00:00
-2.363828863637807,-5.776008141409529,2019-03-03 10:00:00
-1.918148239152274,-5.812687647212982,2019-03-03 11:00:00
-1.3603638993053502,-5.882185658209,2019-03-03 12:00:00
-0.5667516216554986,-5.875107157089035,2019-03-03 13:00:00
0.3369136936357193,-5.8133311473147975,2019-03-03 14:00:00
1.077208350564909,-5.245120557412168,2019-03-03 15:00:00
2.0704199262972383,-4.7123024731093635,2019-03-03 16:00:00
2.6917752754649515,-4.582315452542737,2019-03-03 17:00:00
3.417031629113955,-4.5224699430739435,2019-03-03 18:00:00
4.280366949244672,-4.9935120176025105,2019-03-03 19:00:00
4.871645691852011,-5.523756101498055,2019-03-03 20:00:00
5.290667505977213,-6.386689738031946,2019-03-03 21:00:00
6.1813451957082695,-6.877680315716777,2019-03-03 22:00:00
5.714474234782474,-8.513457574530461,2019-03-03 23:00:00
4.879848402732113,-9.438810720940406,2019-03-04 00:00:00
4.1737317078033485,-9.49736923020557,2019-03-04 01:00:00
3.7218990501577394,-9.426584219005921,2019-03-04 02:00:00
3.776583789358418,-8.696211603445917,2019-03-04 03:00:00
4.3336845699653335,-7.8023899620249075,2019-03-04 04:00:00
5.038434146414082,-7.346791889939899,2019-03-04 05:00:00
5.177196672135805,-7.30689488362737,2019-03-04 06:00:00
4.925646871812682,-7.470343909488376,2019-03-04 07:00:00
4.545587934367964,-7.4767789105065265,2019-03-04 08:00:00
4.287202541644756,-7.178838363366189,2019-03-04 09:00:00
4.224998650803984,-6.9259428233529015,2019-03-04 10:00:00
3.7177976947176883,-6.76828529840823,2019-03-04 11:00:00
3.6432897375567634,-6.559791265420177,2019-03-04 12:00:00
3.6036433016362714,-6.522468259514907,2019-03-04 13:00:00
3.512046363475134,-6.40277724057732,2019-03-04 14:00:00
3.2256350419115787,-6.046921684273636,2019-03-04 15:00:00
3.0349220139492115,-5.5533571061815445,2019-03-04 16:00:00
2.8018283131063177,-5.010886520351515,2019-03-04 17:00:00
2.6856232423048754,-4.433666929023476,2019-03-04 18:00:00
2.7321052706254525,-3.75734832201593,2019-03-04 19:00:00
2.6309385031041965,-3.076525214295679,2019-03-04 20:00:00
2.469618522462194,-2.3905541057609083,2019-03-04 21:00:00
1.3930127194488293,-1.7406190029277764,2019-03-04 22:00:00
1.5071671125302464,-0.9870803837024322,2019-03-04 23:00:00
1.1223232604054691,-0.7612118479653738,2019-03-05 00:00:00
0.3423821675557872,-0.4671323014359272,2019-03-05 01:00:00
-0.49634501993462443,-0.056579236477968475,2019-03-05 02:00:00
-1.3261859373049258,0.6293918720568024,2019-03-05 03:00:00
-2.3276002239173565,1.265813472751819,2019-03-05 04:00:00
-3.2531394348888463,1.5283615142923321,2019-03-05 05:00:00
-4.1137405180595294,1.8726340687633471,2019-03-05 06:00:00
-4.845832464108618,1.980098585766449,2019-03-05 07:00:00
-5.439161884435983,2.725271703668199,2019-03-05 08:00:00
-5.216321572193216,3.9466348969130345,2019-03-05 09:00:00
-4.274376939461524,4.8636225419993835,2019-03-05 10:00:00
-2.082202456754311,6.36941278024644,2019-03-05 11:00:00
-0.539409252055159,6.62616932087062,2019-03-05 12:00:00
-0.6180185646561349,6.459502794500539,2019-03-05 13:00:00
-1.391124065105732,6.534792306412891,2019-03-05 14:00:00
-2.0589614425940224,6.601072816899835,2019-03-05 15:00:00
