U,V,Date
-9.57086892505121,-2.6069583445475915,2018-02-01 00:00:00
-10.00523612868618,-2.722910766731954,2018-02-01 01:00:00
-9.961663243055087,-2.7713566417541875,2018-02-01 02:00:00
-11.36144219395399,-2.2765733607894085,2018-02-01 03:00:00
-10.965882091584211,-1.9533361290836861,2018-02-01 04:00:00
-11.195320567485442,-1.4061359997341958,2018-02-01 05:00:00
-11.111578927913182,-1.0368354770237271,2018-02-01 06:00:00
-11.319911787336853,-0.44913141937695933,2018-02-01 07:00:00
-11.191235609457527,-0.24661177789057315,2018-02-01 08:00:00
-10.24624865233317,-0.678653679728197,2018-02-01 09:00:00
-10.157741228395011,-1.4251966718740912,2018-02-01 10:00:00
-9.455809273931601,-1.5872123850632,2018-02-01 11:00:00
-8.976507531989565,-1.9938400573809636,2018-02-01 12:00:00
-8.913871508894866,-1.9700142172060948,2018-02-01 13:00:00
-9.20662683422878,-1.818323034759429,2018-02-01 14:00:00
-9.445596878861814,-1.7809958851521341,2018-02-01 15:00:00
-9.522530255054214,-1.9207741475113655,2018-02-01 16:00:00
-9.540912566179832,-2.1066157008753432,2018-02-01 17:00:00
-9.336664664784077,-1.8882121659390445,2018-02-01 18:00:00
-9.280156078731252,-1.4998509710886805,2018-02-01 19:00:00
-9.075227350997512,-1.2798590468073905,2018-02-01 20:00:00
-9.04935595015405,-1.2083815262827837,2018-02-01 21:00:00
-8.522396364553003,-1.4942916083812112,2018-02-01 22:00:00
-8.783152852001583,-1.5880065797356955,2018-02-01 23:00:00
-8.868256144249814,-1.5252652006085405,2018-02-02 00:00:00
-9.132416763388324,-1.5610039608708441,2018-02-02 01:00:00
-8.815832516224905,-1.5522678194733923,2018-02-02 02:00:00
-8.865532838897872,-1.6364524547579293,2018-02-02 03:00:00
-8.524438843566962,-1.73810937283737,2018-02-02 04:00:00
-8.243938392316792,-1.6737796043652238,2018-02-02 05:00:00
-7.910333486703726,-1.5308245633160102,2018-02-02 06:00:00
-7.6999581482660995,-1.3314817005196065,2018-02-02 07:00:00
-7.131468156047916,-1.4641122108263769,2018-02-02 08:00:00
-6.859137620853577,-1.8127636720519593,2018-02-02 09:00:00
-6.294051760325323,-2.836480604898829,2018-02-02 10:00:00
-6.485363961299346,-3.23993149852661,2018-02-02 11:00:00
-6.389367447643342,-3.224841799749193,2018-02-02 12:00:00
-6.085038074563668,-3.4400685559955098,2018-02-02 13:00:00
-5.74530573190873,-3.922938916872854,2018-02-02 14:00:00
-5.434848921787183,-4.4788751876197965,2018-02-02 15:00:00
-4.8629547978790715,-5.069756023956547,2018-02-02 16:00:00
-4.2073190343987,-5.845684218984779,2018-02-02 17:00:00
-4.059579719055771,-6.8257204448443884,2018-02-02 18:00:00
-4.452416516073605,-7.439632926683513,2018-02-02 19:00:00
-4.9337607370295995,-7.677097133759706,2018-02-02 20:00:00
-4.688663255354694,-7.752545627646791,2018-02-02 21:00:00
-4.501436012408586,-8.411727205818165,2018-02-02 22:00:00
-4.532754023955935,-8.70001987193408,2018-02-02 23:00:00
-5.244898373489132,-8.81994326748092,2018-02-03 00:00:00
-6.038061057242644,-8.495117646430206,2018-02-03 01:00:00
-6.43225950693645,-8.062281549920087,2018-02-03 02:00:00
-6.535064283972313,-7.90741358878344,2018-02-03 03:00:00
-6.5010229670730215,-7.80734506004899,2018-02-03 04:00:00
-6.680761120301285,-7.854202545726232,2018-02-03 05:00:00
-6.865265057895449,-7.809727644066477,2018-02-03 06:00:00
