Переменная,BIAS,MAE,СКО,Корреляция
U (м/с),0.05972719064175665,2.366856187181046,4.747599304858696,0.8618412764216863
V (м/с),-0.6462840160249719,1.7910276354429173,6.04581969217714,0.9351448382340073
W (м/с),1.174309580530343,1.8306302305425943,3.807493320146277,0.858016185465835
Wпик (м/с),0.7047463684698609,1.7321763955594682,2.486636649274502,0.6962384374642698
