Переменная,BIAS,MAE,СКО,Корреляция
U (м/с),0.21931781309450235,1.8428976266238932,3.412410980646854,0.7836819222185276
V (м/с),0.5881711995486939,1.6507834100444827,2.8895239369260177,0.7195862471811798
W (м/с),-0.026368420527625433,1.4866853751601588,2.7948858181359397,0.734135363663439
Wпик (м/с),-1.6675142008253767,2.198458271277257,2.349360840749043,0.5827910675331083
