U,V,Date
2.4745119220961302,-2.7013177075095793,2013-03-01 00:00:00
2.4247441044633486,-2.299384519723629,2013-03-01 01:00:00
2.492997111502592,-2.0305548182680995,2013-03-01 02:00:00
2.8044014561191397,-1.9223672554872153,2013-03-01 03:00:00
3.066748951926231,-1.9020411073283827,2013-03-01 04:00:00
3.239514375994316,-1.8423740272492284,2013-03-01 05:00:00
3.459914711225206,-1.8607331288120452,2013-03-01 06:00:00
3.532433531204402,-1.7551682948258494,2013-03-01 07:00:00
3.339050011259879,-1.7918864979514826,2013-03-01 08:00:00
2.9266880937311175,-1.7361535110643607,2013-03-01 09:00:00
2.453893826219692,-1.967609327195585,2013-03-01 10:00:00
2.200077956292506,-1.6994353079387272,2013-03-01 11:00:00
2.1616856398329314,-1.663372787011766,2013-03-01 12:00:00
2.0763693810338775,-1.797131955540859,2013-03-01 13:00:00
2.136801731016541,-1.9269570308779196,2013-03-01 14:00:00
2.2292276780488494,-2.0928446271419414,2013-03-01 15:00:00
2.3564910974241053,-2.1525117072210955,2013-03-01 16:00:00
2.5505855861919535,-2.1984094611281373,2013-03-01 17:00:00
2.6373237826376585,-2.2344719820550987,2013-03-01 18:00:00
2.4858874232693373,-2.3675754683855192,2013-03-01 19:00:00
2.354358190954129,-2.3374140872466063,2013-03-01 20:00:00
2.2498457739252875,-2.250208354823227,2013-03-01 21:00:00
2.4766448285661067,-2.5078914589013324,2013-03-01 22:00:00
2.1737721098294642,-2.0633389282017003,2013-03-01 23:00:00
1.6967120293780864,-1.9085979293151027,2013-03-02 00:00:00
1.1613525054140212,-1.7020580367334155,2013-03-02 01:00:00
0.5883116338137073,-1.3433998740598185,2013-03-02 02:00:00
-0.5449726705670623,-1.4089680939270208,2013-03-02 03:00:00
-1.9015011854720236,-0.7709893146191418,2013-03-02 04:00:00
-2.8904588187177267,0.2748237922627359,2013-03-02 05:00:00
-3.86377513785027,-0.9539246480486363,2013-03-02 06:00:00
-4.480896076496762,-0.9040928009495626,2013-03-02 07:00:00
-4.788745576996682,-0.6319846885006728,2013-03-02 08:00:00
-5.189731993352237,-1.5722329613963546,2013-03-02 09:00:00
-5.172668741592426,-2.6200131148742485,2013-03-02 10:00:00
-4.869796022855784,-3.1648850219707003,2013-03-02 11:00:00
-4.625222747631828,-4.189060616296402,2013-03-02 12:00:00
-4.939470967541678,-4.53198240620187,2013-03-02 13:00:00
-5.781258054359013,-4.737210934386213,2013-03-02 14:00:00
-6.62588901646965,-4.775896184107863,2013-03-02 15:00:00
-7.46198835270038,-4.870970102915306,2013-03-02 16:00:00
-9.009767481079889,-4.6073858590491525,2013-03-02 17:00:00
-9.589918040913457,-4.701148413459252,2013-03-02 18:00:00
-9.680922050299115,-4.907688306040939,2013-03-02 19:00:00
-9.747042150868381,-5.533864805772722,2013-03-02 20:00:00
-9.976685080802502,-5.78892518105614,2013-03-02 21:00:00
-9.706516927938832,-5.929241171571952,2013-03-02 22:00:00
-10.927961366411957,-6.400020990218465,2013-03-02 23:00:00
-11.09006225813016,-7.070783879459945,2013-03-03 00:00:00
-10.339279180698483,-7.209132823379742,2013-03-03 01:00:00
-9.04247204695286,-7.203887365790367,2013-03-03 02:00:00
-8.846244651715034,-8.028735571719771,2013-03-03 03:00:00
-7.81676179553978,-8.696875732166564,2013-03-03 04:00:00
-7.83240310965294,-9.471892090996896,2013-03-03 05:00:00
-7.045360622231666,-9.863334363604094,2013-03-03 06:00:00
-5.8104077761153565,-9.697446767340072,2013-03-03 07:00:00
-4.813629485813073,-9.239124910468329,2013-03-03 08:00:00
-3.4393267503249754,-8.545413144273327,2013-03-03 09:00:00
-1.1301000121639089,-6.78031666544824,2013-03-03 10:00:00
0.07072633043277864,-7.0137395281754795,2013-03-03 11:00:00
0.768897714938372,-7.011116799380792,2013-03-03 12:00:00
1.2580442653862827,-6.465589210085668,2013-03-03 13:00:00
2.2590883686285186,-5.990875298247122,2013-03-03 14:00:00
3.391661704185963,-5.638773957560246,2013-03-03 15:00:00
4.033666551648845,-5.4860000052696645,2013-03-03 16:00:00
4.586800296196047,-5.457805670726767,2013-03-03 17:00:00
4.822841945540096,-5.30634308283353,2013-03-03 18:00:00
5.03968743665436,-4.908999670438283,2013-03-03 19:00:00
5.106518506046951,-4.501821025062957,2013-03-03 20:00:00
4.942995676682098,-4.268398162335716,2013-03-03 21:00:00
5.5302559247489205,-3.624518243239789,2013-03-03 22:00:00
5.833128643485563,-4.123492396429199,2013-03-03 23:00:00
6.1431110504554605,-4.506410800453661,2013-03-04 00:00:00
6.049974134599826,-4.648038155366818,2013-03-04 01:00:00
5.995940504027091,-4.639514286784081,2013-03-04 02:00:00
6.216340839257982,-4.303805001064005,2013-03-04 03:00:00
5.828151861722285,-3.8258126782321003,2013-03-04 04:00:00
5.793314389379338,-3.4146999396647413,2013-03-04 05:00:00
5.93835202933773,-2.9432644388195564,2013-03-04 06:00:00
6.490774805061606,-2.299384519723629,2013-03-04 07:00:00
6.769474583805183,-1.99842639053317,2013-03-04 08:00:00
6.668517010892969,-2.0331775470627873,2013-03-04 09:00:00
6.7310822673456085,-1.2942237091594166,2013-03-04 10:00:00
6.58391172091724,-1.8745024549841576,2013-03-04 11:00:00
6.863322468484142,-2.3701981971802075,2013-03-04 12:00:00
7.100786055474844,-2.630504030053001,2013-03-04 13:00:00
6.990585887859399,-2.848846202210785,2013-03-04 14:00:00
6.809288837911408,-3.126855454447723,2013-03-04 15:00:00
6.910246410823622,-3.271105538155568,2013-03-04 16:00:00
7.178992626040643,-3.325527160645346,2013-03-04 17:00:00
7.354601925402029,-3.492726121306712,2013-03-04 18:00:00
7.375930990101793,-3.603536412882284,2013-03-04 19:00:00
7.48115437595396,-3.7169694332525443,2013-03-04 20:00:00
7.353179987755379,-3.789750157305139,2013-03-04 21:00:00
7.222361724263496,-3.7628671871595856,2013-03-04 22:00:00
7.2287604436734245,-3.427813583638182,2013-03-04 23:00:00
7.669561114135204,-3.235043017228607,2013-03-05 00:00:00
7.916978264652462,-3.2783180423409606,2013-03-05 01:00:00
8.027889401091231,-3.409454482075365,2013-03-05 02:00:00
8.140933443999979,-3.554360247981882,2013-03-05 03:00:00
8.091876595190522,-3.6395989338092454,2013-03-05 04:00:00
7.813176816446946,-3.7235262552392645,2013-03-05 05:00:00
7.48115437595396,-3.7858160641131064,2013-03-05 06:00:00
7.031822079612274,-3.521576138048281,2013-03-05 07:00:00
6.59173237797382,-3.080957700540681,2013-03-05 08:00:00
6.155197520451993,-2.741970003827245,2013-03-05 09:00:00
5.707287161756958,-2.3629856929948154,2013-03-05 10:00:00
5.3525137189175584,-1.9774445601756654,2013-03-05 11:00:00
5.0283119354811525,-1.637145499064885,2013-03-05 12:00:00
4.587511265019372,-1.4804374535822715,2013-03-05 13:00:00
4.273263045109522,-1.4581442588274225,2013-03-05 14:00:00
4.096231808101485,-1.4522431190393743,2013-03-05 15:00:00
3.9661245134329275,-1.4601113054234385,2013-03-05 16:00:00
3.9234663840334005,-1.4535544834367184,2013-03-05 17:00:00
3.708753799389114,-1.5099431525225124,2013-03-05 18:00:00
3.3596681071363172,-1.5086317881251685,2013-03-05 19:00:00
3.0432869807564913,-1.3794623949867797,2013-03-05 20:00:00
2.7837833602427016,-1.1401383924714912,2013-03-05 21:00:00
2.7567665449563346,-0.7100108701426435,2013-03-05 22:00:00
2.8548802425752466,-0.4090527409521847,2013-03-05 23:00:00
2.892561590211496,-0.24119809809214665,2013-03-06 00:00:00
3.149221335431984,-0.1671060096422079,2013-03-06 01:00:00
3.497596058861455,-0.17890828921830426,2013-03-06 02:00:00
3.8495256264075537,-0.3395504278929502,2013-03-06 03:00:00
3.3774423277194536,-0.3061106357606769,2013-03-06 04:00:00
2.5377881473720953,0.23613854254108668,2013-03-06 05:00:00
1.589355737055943,0.7429808821145611,2013-03-06 06:00:00
1.2751075171460935,0.9927957998086021,2013-03-06 07:00:00
1.1300698771877014,0.8131388773724675,2013-03-06 08:00:00
0.9885870813459365,0.5875842010292915,2013-03-06 09:00:00
1.5054614159035398,-0.19202193319174476,2013-03-06 10:00:00
1.409480624754604,-0.8122972931354793,2013-03-06 11:00:00
1.314921771252319,-1.1775122777957965,2013-03-06 12:00:00
1.2580442653862827,-1.5158442923105606,2013-03-06 13:00:00
1.130780846011027,-1.721728502693576,2013-03-06 14:00:00
1.1336247213043287,-1.7951649089448427,2013-03-06 15:00:00
1.1542428171807668,-1.7840183115674184,2013-03-06 16:00:00
1.2708417042061408,-1.7584467058192095,2013-03-06 17:00:00
1.3739321835883314,-1.71976145609756,2013-03-06 18:00:00
1.4713349123839181,-1.7820512649714022,2013-03-06 19:00:00
1.5033285094335636,-1.8712240439907974,2013-03-06 20:00:00
1.4898201017903798,-1.9446604502420641,2013-03-06 21:00:00
1.4507168165074802,-1.7551682948258494,2013-03-06 22:00:00
1.5651827970628778,-1.3656930688146671,2013-03-06 23:00:00
1.8076231658168567,-0.8817996061947138,2013-03-07 00:00:00
1.981099558708267,-0.34217315668763826,2013-03-07 01:00:00
2.4275879797566504,-0.062196857854684096,2013-03-07 02:00:00
2.8890067460948683,0.03943388293947958,2013-03-07 03:00:00
3.1549090860185873,0.10828051380004222,2013-03-07 04:00:00
3.2907041312737486,0.15548963210442768,2013-03-07 05:00:00
