U,V,Date
-1.2600586975157264,-2.4682890577824024,2010-01-01 00:00:00
-0.8831114584819016,-2.546808505209999,2010-01-01 01:00:00
-0.48783615272033826,-2.6420616053680677,2010-01-01 02:00:00
-0.423687919173253,-2.802962112391832,2010-01-01 03:00:00
-0.47378463489573863,-2.702560196009003,2010-01-01 04:00:00
-0.23613070299272754,-2.708996216289953,2010-01-01 05:00:00
-0.04429693790906308,-2.9072256409432304,2010-01-01 06:00:00
0.23367874079497297,-3.061690127686044,2010-01-01 07:00:00
0.5813010730644159,-3.337795397738823,2010-01-01 08:00:00
0.7212053157528209,-3.7123717780901457,2010-01-01 09:00:00
1.1800179195038782,-3.93312727372675,2010-01-01 10:00:00
1.3529126823022128,-4.061847679345761,2010-01-01 11:00:00
1.3162565488467353,-4.104325413200035,2010-01-01 12:00:00
1.0657729702343073,-4.133931106492408,2010-01-01 13:00:00
0.7468646091716549,-4.208588941751435,2010-01-01 14:00:00
0.44628431483674125,-4.260077103999039,2010-01-01 15:00:00
0.21718348074000815,-4.2304714107066665,2010-01-01 16:00:00
0.3234862677608923,-4.200865717414294,2010-01-01 17:00:00
0.43284373256973296,-4.2652259202237985,2010-01-01 18:00:00
0.6674429866847875,-4.280028766869986,2010-01-01 19:00:00
0.8336174583496179,-4.310278062190453,2010-01-01 20:00:00
1.0364480634699256,-4.228540604622381,2010-01-01 21:00:00
1.4201155936372545,-4.010359517098157,2010-01-01 22:00:00
1.7243615013177158,-4.155169973419545,2010-01-01 23:00:00
1.8752625840427641,-4.251710277633803,2010-01-02 00:00:00
2.329187703333091,-4.358548214297582,2010-01-02 01:00:00
2.748900431398306,-4.38493589744948,2010-01-02 02:00:00
2.9896090410892735,-4.4904866300570685,2010-01-02 03:00:00
2.9260717430997794,-4.549698016641814,2010-01-02 04:00:00
2.483754399403687,-4.67133879995178,2010-01-02 05:00:00
1.743911439160637,-4.807138827879836,2010-01-02 06:00:00
0.9808529277291183,-4.886301877335528,2010-01-02 07:00:00
0.3583095945435957,-4.926205203077422,2010-01-02 08:00:00
0.18785857397562644,-4.924274396993137,2010-01-02 09:00:00
-0.03330009787241994,-5.0362611498816765,2010-01-02 10:00:00
-0.06995623132789719,-4.841249735368875,2010-01-02 11:00:00
-0.3839771079298193,-4.583808924130852,2010-01-02 12:00:00
-0.42124417694288785,-4.338596551426635,2010-01-02 13:00:00
