U,V,Date
-6.630139745513462,-5.49361750382236,2009-01-01 00:00:00
-6.756549856670135,-5.463775891676897,2009-01-01 01:00:00
-6.451884012730321,-5.154859943726639,2009-01-01 02:00:00
-5.963719620337271,-5.189122535449208,2009-01-01 03:00:00
-6.275958420244997,-5.197964494603419,2009-01-01 04:00:00
-6.264890253830357,-4.880759209946088,2009-01-01 05:00:00
-6.071488609111393,-4.6525261392780095,2009-01-01 06:00:00
-5.5413816913576035,-4.385056874863118,2009-01-01 07:00:00
-5.148170516100672,-4.259611579362744,2009-01-01 08:00:00
-5.029915895986365,-4.194954753047574,2009-01-01 09:00:00
-3.861933071704666,-4.3458206811163045,2009-01-01 10:00:00
-3.442507818097272,-4.429266670634174,2009-01-01 11:00:00
-3.4127985293000815,-4.620474037343993,2009-01-01 12:00:00
-3.427944441235904,-4.903969352725893,2009-01-01 13:00:00
-2.932789627949398,-5.014493842153534,2009-01-01 14:00:00
-2.662493353402411,-4.99128369937373,2009-01-01 15:00:00
-2.3426815975267736,-4.856996444719146,2009-01-01 16:00:00
-2.054909270746145,-4.650868271936595,2009-01-01 17:00:00
-2.0869486998411544,-4.755313914445716,2009-01-01 18:00:00
-2.0199571662788625,-4.835996791727894,2009-01-01 19:00:00
-2.0683075774586035,-4.636500088311001,2009-01-01 20:00:00
-1.912770712579195,-4.505528568339246,2009-01-01 21:00:00
-1.4461601179409698,-4.319294803653671,2009-01-01 22:00:00
-1.5079088358331694,-4.343610191327752,2009-01-01 23:00:00
-1.5568417820873652,-4.569632772207278,2009-01-02 00:00:00
-2.0112191401620416,-4.927732117952836,2009-01-02 01:00:00
-2.1329689707230766,-5.174754351823615,2009-01-02 02:00:00
-1.9424800013763854,-5.408513646963076,2009-01-02 03:00:00
-1.4717916612169772,-5.337777973729386,2009-01-02 04:00:00
-0.9160532001871806,-5.333356994152281,2009-01-02 05:00:00
-0.4995406219520606,-5.179175331400721,2009-01-02 06:00:00
-0.3049739070841866,-4.840970393752138,2009-01-02 07:00:00
-0.2216713914371624,-4.602790119035571,2009-01-02 08:00:00
-0.2519632153088076,-4.544764762086059,2009-01-02 09:00:00
-0.5344927264193435,-4.192744263259021,2009-01-02 10:00:00
-0.5012882271754249,-4.469608109275263,2009-01-02 11:00:00
-0.7191563450214875,-4.670762680033571,2009-01-02 12:00:00
-0.7010977577133914,-4.718840832934594,2009-01-02 13:00:00
-0.4873073853885117,-4.748682445080057,2009-01-02 14:00:00
-0.39235416825239344,-4.76028751646996,2009-01-02 15:00:00
-0.3713829055720237,-4.595053404775635,2009-01-02 16:00:00
-0.46633612270814195,-4.491713007160791,2009-01-02 17:00:00
-0.5036183674732437,-4.368478201448971,2009-01-02 18:00:00
-0.5577941293975319,-4.182797059210534,2009-01-02 19:00:00
-0.3713829055720237,-4.000431651654925,2009-01-02 20:00:00
-0.12205789370540643,-3.9446167844939666,2009-01-02 21:00:00
-0.16400041906614593,-3.7661197340683255,2009-01-02 22:00:00
-0.0043858086655546025,-3.43509888823254,2009-01-02 23:00:00
0.13250993383130316,-3.444493469833889,2009-01-03 00:00:00
0.13542260920357663,-3.223997113425745,2009-01-03 01:00:00
0.39406818226146934,-2.8763975941758124,2009-01-03 02:00:00
0.6701898075530033,-2.663085329580465,2009-01-03 03:00:00
1.1204894201064968,-2.523824472901637,2009-01-03 04:00:00
